"","cluster_assignment","id","name","IBU","ABV","SRM"
"211","8","ueYGTP","Budweiser 1933 Repeal Reserve",-0.798508989060449,-0.772370032053813,-0.447216681911477
"212","5","hlynwj","Budweiser American Ale",-0.276103564427435,-0.689916545409079,-0.0543562474233861
"213","13","eW9IJb","Budweiser Chelada",-1.51088002265092,-1.15715296972923,-1.0583329133374
"214","8","mobjLC","Budweiser Copper Lager",-0.798508989060449,-0.772370032053813,-0.447216681911477
"215","8","bQk5Rn","Budweiser Freedom Reserve",-0.798508989060449,-0.772370032053813,-0.447216681911477
"216","2","G2Vi1J","Budweiser Select",-1.58211712600997,-1.40451342966343,-1.0583329133374
"217","18","BbrPm8","Buffalo Trace Aged Scotch Ale",-0.513560575624259,0.327009789875965,0.644062302777664
"218","16","dRIuaV","Bulleit Bourbon Ten Fidy",0.198810457966215,0.546885754261921,2.17185288134246
"219","16","5ON8OO","Bulleit Bourbon Ten Fidy",0.198810457966215,0.546885754261921,2.17185288134246
"220","13","QhHBBX","Busch",-1.51088002265092,-1.15715296972923,-1.0583329133374
"221","14","fKinUP","Busch Ice",-1.29716871257378,-0.552494067667857,-0.883728275787133
"222","2","30zzKy","Busch Light",-1.58211712600997,-1.40451342966343,-1.0583329133374
"223","13","vNwXnT","Busch Signature Copper Lager",-1.51088002265092,-1.15715296972923,-1.0583329133374
"224","17","zYJxUM","Cabin Fever",-0.276103564427435,-0.717401040957324,0.469457665227401
"225","9","9OyQXs","California Black Beer",-1.130948804736,-0.964761500891524,0.38215534645227
"226","17","qa1QZU","Cappuccino Stout",-0.988474598017909,-1.10218397863275,2.17185288134246
"227","14","04k0TG","Casper The Friendly Gose",-1.34466011481315,-0.88230801424679,-0.796425957012002
"228","5","PLnqH7","Celebration Ale 1992",-0.22861216218807,-0.799854527602057,-0.447216681911477
"229","5","v5a7l8","Celebrator Beer News",0.198810457966215,-0.332618103281901,-0.447216681911477
"230","5","lyc9as","Censored (Kronik)",-0.276103564427435,-0.689916545409079,-0.0543562474233861
"231","5","tZkS7X","Censored Imperial Stout",-0.276103564427435,-0.689916545409079,-0.0543562474233861
"232","5","GboTWT","Censored Rich Copper Ale",-0.276103564427435,-0.689916545409079,-0.0543562474233861
"233","8","zd3xxc","Centennial Hop Mountain Marzen (Batch No. 80524)",-0.751017586821084,-0.497525076571368,-0.490867841299042
"234","10","1C793t","Centennial Saison",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"235","17","1t3vFB","Chai Porter",-0.751017586821084,-0.689916545409079,1.08057389665332
"236","8","guH320","Chaka",-0.751017586821084,-0.827339023150302,-0.534519000686608
"237","7","Ontrer","Chardonnay Barrel G'Knight",1.38609551395034,1.48135860290223,-0.228960884973649
"238","18","ct0Hxz","Charkoota Rye",-0.893491793539179,0.409463276520699,0.513108824614967
"239","18","lUt8yP","Charkoota Rye",-0.893491793539179,0.409463276520699,0.513108824614967
"240","4","qqOqX9","Chernigivske White",-0.869746092419496,-1.10218397863275,-0.709123638236871
"241","7","LkfL1Y","Cherry Chocolate Stout",1.9797380419424,1.37142062070925,-0.534519000686608
"242","16","wIRsU0","Cherry Vanilla Stout",0.317538963564627,0.409463276520699,2.17185288134246
"243","18","3wh93y","Chewbocka",-0.751017586821084,0.217071807682988,0.862318099715492
"244","5","Z10a03","Chico King - Beer Camp Across America",-0.22861216218807,-0.799854527602057,-0.447216681911477
"245","12","dnUKxu","Chocolate Chili Stout - High Altitude Series",1.14863850275351,1.6462655761917,2.17185288134246
"246","18","T1YdsG","Chocolate Pretzel Stout",-0.632289081222672,0.409463276520699,1.51708549052898
"247","16","x71Neo","Chocolate Stout (Cask Conditioned) Aka Double Chocolate Snowman Stout",0.317538963564627,0.409463276520699,2.17185288134246
"248","7","EBgR2m","Choice Make Good",1.9797380419424,1.37142062070925,-0.534519000686608
"249","18","zpvlri","Christmas Chub",-0.157375058829022,0.409463276520699,1.08057389665332
"250","6","oEiXJV","Christmas Jam",-0.988474598017909,-1.0746994830845,-1.14563523211253
"251","16","Hh3VFp","Cinnister Stout",0.317538963564627,0.409463276520699,2.17185288134246
"252","15","iTZlLw","Citra IPL",0.911181491556689,0.217071807682988,-0.447216681911477
"253","5","yQqOSf","Citra Pale Ale",-0.22861216218807,-0.799854527602057,-0.447216681911477
"254","2","tMseDR","Citrus And Vanilla Berlinerweisse",-1.72459133272807,-1.87174985398359,-1.0583329133374
"255","5","8pAabO","CitruSinensis",-0.22861216218807,-0.799854527602057,-0.447216681911477
"256","4","3dsDxX","Clean Sweep",-0.988474598017909,-1.10218397863275,-0.883728275787133
"257","10","CtLLsH","Coco Nuts",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"258","12","mXym9s","Coffee Stout",0.0800819523678023,1.6462655761917,2.17185288134246
"259","18","gfFqa1","Cold Nose Winter Ale",0.317538963564627,0.546885754261921,0.513108824614967
"260","6","qhppip","Collabinator Wit",-1.29716871257378,-0.827339023150302,-1.0583329133374
"261","15","h2d5zt","Conehead",0.911181491556689,0.217071807682988,-0.447216681911477
"262","10","a1DUfG","Cool Breeze",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"263","13","sghlNk","Cornlaboration",-1.51088002265092,-1.15715296972923,-1.0583329133374
"264","16","uycrg9","Corsair Buckwheat Porter",0.0800819523678023,0.546885754261921,2.17185288134246
"265","5","ehb1eB","Country Pale Ale",-0.22861216218807,-0.799854527602057,-0.447216681911477
"266","6","C7bzqV","Cranberry Kolsch",-0.917237494658861,-0.799854527602057,-0.883728275787133
"267","4","bHmQdD","Crank Tank",-0.869746092419496,-1.10218397863275,-0.709123638236871
"268","9","FDpmPR","Crank Tank Rye'd Ale",-1.10720310361632,-1.15715296972923,0.0329460713517451
"269","17","BkSzxg","Cream Ale",-0.988474598017909,-1.10218397863275,2.17185288134246
"270","6","xwLUUb","Cream Ale",-1.17844020697537,-0.88230801424679,-1.01468175394983
"271","5","537zpn","Credits & Debits",-0.22861216218807,-0.799854527602057,-0.447216681911477
"272","5","S1oEH9","CSB ESB",-0.157375058829022,-0.662432049860835,-0.359914363136346
"273","19","AvtUms","Cubcrawler",0.317538963564627,1.37142062070925,-0.0543562474233861
"274","11","nF8WBb","Cuvee Mam'zelle",-0.988474598017909,-0.470040581023124,0.0765972307393107
"275","19","rDnNdd","Cuvee Soeur¡¯ise",-0.394832070025847,1.09657566522681,-0.752774797624436
"276","4","nFcIwJ","D07",-0.869746092419496,-1.10218397863275,-0.709123638236871
"277","5","iT9pf4","Dale's Pale Ale",-0.22861216218807,-0.799854527602057,-0.447216681911477
"278","5","2ADEYR","Dale's Pale Ale Nitro",-0.22861216218807,-0.799854527602057,-0.447216681911477
"279","5","JDzrBR","Dales Dry Hop Equinox",-0.22861216218807,-0.799854527602057,-0.447216681911477
"280","5","vXifKs","Dales T45 Dry Hop",-0.22861216218807,-0.799854527602057,-0.447216681911477
